trade_id,trade_date,settlement_date,settlement_cycle_days,counterparty_id,counterparty_name,counterparty_region,instrument_id,instrument_type,instrument_liquidity_score,currency,is_cross_border,is_cross_currency,trade_value_usd,ssi_mismatch_flag,counterparty_historical_fail_rate,settlement_failed
TRD0000000,2025-01-20,2025-01-23,3,CPTY0024,"Walter, Edwards and Rios",ZA,ISIN000241,Money Market,0.797,INR,1,1,195261.85,1,0.208,1
TRD0000001,2024-11-17,2024-11-19,2,CPTY0004,"Guzman, Hoffman and Baldwin",JP,ISIN000284,Government Bond,0.759,SGD,1,1,25775.8,0,0.0,0
TRD0000002,2025-09-25,2025-09-27,2,CPTY0102,"Mckee, Gardner and Davenport",IN,ISIN000278,Corporate Bond,0.715,USD,1,0,1722960.97,0,0.14,0
TRD0000003,2025-01-24,2025-01-25,1,CPTY0029,"Snyder, Campos and Callahan",BR,ISIN000137,Government Bond,0.698,EUR,1,1,4884.59,0,0.141,0
TRD0000004,2024-07-31,2024-08-03,3,CPTY0065,Morton-Chase,AU,ISIN000042,Money Market,0.632,GBP,1,1,11489.91,0,0.118,0
TRD0000005,2024-09-24,2024-09-26,2,CPTY0080,"Sanchez, Wheeler and Harvey",IN,ISIN000006,Government Bond,0.597,USD,1,0,60337.03,0,0.064,0
TRD0000006,2025-10-08,2025-10-09,1,CPTY0085,Smith PLC,US,ISIN000060,Corporate Bond,0.841,ZAR,0,1,7312.69,0,0.169,0
TRD0000007,2025-06-04,2025-06-06,2,CPTY0002,"Mcclain, Miller and Henderson",SG,ISIN000058,Money Market,0.884,GBP,1,1,2942.34,0,0.116,0
TRD0000008,2025-03-27,2025-03-29,2,CPTY0051,Walker LLC,CH,ISIN000249,Government Bond,0.741,GBP,1,1,17742.59,0,0.096,0
TRD0000009,2026-01-18,2026-01-19,1,CPTY0072,Henderson-Bernard,CH,ISIN000148,ETF,0.927,CHF,1,1,504105.5,0,0.165,0
TRD0000010,2026-03-04,2026-03-05,1,CPTY0049,"Harris, Collins and Carney",IN,ISIN000230,ETF,0.557,USD,1,0,90215.36,0,0.29,0
TRD0000011,2025-03-02,2025-03-03,1,CPTY0003,Davis and Sons,JP,ISIN000297,ADR,0.544,JPY,1,1,98582.06,0,0.189,0
TRD0000012,2025-06-05,2025-06-08,3,CPTY0093,Newton and Sons,JP,ISIN000123,ETF,0.479,JPY,1,1,66738.79,0,0.012,0
TRD0000013,2025-10-15,2025-10-18,3,CPTY0089,Moore-Bass,UK,ISIN000216,Equity,0.458,EUR,1,1,314401.13,0,0.143,0
TRD0000014,2025-08-03,2025-08-04,1,CPTY0104,Nolan-Flynn,CH,ISIN000049,Corporate Bond,0.91,BRL,1,1,67553.04,0,0.063,0
TRD0000015,2024-09-29,2024-10-01,2,CPTY0078,Jones Inc,BR,ISIN000222,Government Bond,0.777,ZAR,1,1,3481628.13,0,0.052,0
TRD0000016,2025-04-27,2025-04-30,3,CPTY0072,Henderson-Bernard,CH,ISIN000094,Equity,0.767,GBP,1,1,92687.56,1,0.135,1
TRD0000017,2026-05-31,2026-06-01,1,CPTY0118,May-Ross,BR,ISIN000238,Equity,0.459,GBP,1,1,59057.31,0,0.101,0
TRD0000018,2025-09-22,2025-09-23,1,CPTY0117,Rasmussen LLC,EU,ISIN000168,ETF,0.833,SGD,1,1,37234.98,0,0.308,0
TRD0000019,2024-11-26,2024-11-27,1,CPTY0082,Donovan-Harris,AU,ISIN000148,ETF,0.927,GBP,1,1,12891.17,0,0.095,0
TRD0000020,2025-01-15,2025-01-18,3,CPTY0105,Nolan and Sons,BR,ISIN000260,ADR,0.826,AUD,1,1,33196.81,0,0.107,1
TRD0000021,2024-08-05,2024-08-07,2,CPTY0113,Gonzalez Group,UK,ISIN000234,Government Bond,0.413,JPY,1,1,387524.57,0,0.244,0
TRD0000022,2026-01-03,2026-01-04,1,CPTY0108,Hancock and Sons,AU,ISIN000122,ADR,0.762,GBP,1,1,13858.56,0,0.154,0
TRD0000023,2025-06-05,2025-06-08,3,CPTY0034,"Dyer, Potter and Mack",AU,ISIN000196,Money Market,0.552,EUR,1,1,50645.87,0,0.33,0
TRD0000024,2024-07-03,2024-07-05,2,CPTY0078,Jones Inc,BR,ISIN000118,ETF,0.663,USD,1,0,106690.11,0,0.029,0
TRD0000025,2025-08-09,2025-08-11,2,CPTY0055,Jones-Young,UK,ISIN000223,Government Bond,0.727,JPY,1,1,112502.35,0,0.148,0
TRD0000026,2026-06-20,2026-06-21,1,CPTY0069,Hancock Inc,JP,ISIN000085,Corporate Bond,0.754,INR,1,1,68040.91,0,0.129,0
TRD0000027,2026-03-20,2026-03-21,1,CPTY0052,Chapman and Sons,AU,ISIN000175,ADR,0.722,CHF,1,1,11897.38,0,0.263,0
TRD0000028,2025-08-24,2025-08-25,1,CPTY0066,Williams PLC,EU,ISIN000003,Money Market,0.676,JPY,1,1,21612.94,0,0.379,0
TRD0000029,2025-12-17,2025-12-18,1,CPTY0053,"Robinson, Jones and Welch",CH,ISIN000155,ADR,0.649,JPY,1,1,45470.62,0,0.317,0
TRD0000030,2026-01-11,2026-01-13,2,CPTY0089,Moore-Bass,UK,ISIN000040,Money Market,0.661,AUD,1,1,120557.15,1,0.109,1
TRD0000031,2026-07-02,2026-07-03,1,CPTY0119,"Rivera, Johnson and Wiley",CH,ISIN000211,Corporate Bond,0.901,EUR,1,1,12349.19,0,0.178,0
TRD0000032,2026-01-29,2026-01-30,1,CPTY0065,Morton-Chase,AU,ISIN000224,Corporate Bond,0.513,AUD,1,1,94325.26,0,0.039,0
TRD0000033,2026-01-25,2026-01-28,3,CPTY0117,Rasmussen LLC,EU,ISIN000051,Corporate Bond,0.522,BRL,1,1,30389.67,1,0.324,1
TRD0000034,2025-12-04,2025-12-06,2,CPTY0063,"West, Henderson and Ramirez",SG,ISIN000196,Money Market,0.552,BRL,1,1,4296.2,0,0.078,1
TRD0000035,2024-12-02,2024-12-03,1,CPTY0042,Rodriguez LLC,SG,ISIN000010,ADR,0.884,USD,1,0,73172.47,0,0.0,0
TRD0000036,2025-04-10,2025-04-11,1,CPTY0015,Galloway-Wyatt,JP,ISIN000287,Government Bond,0.674,CHF,1,1,75316.13,0,0.124,0
TRD0000037,2025-06-01,2025-06-02,1,CPTY0020,Gray-Mayo,JP,ISIN000251,Corporate Bond,0.907,ZAR,1,1,242179.11,0,0.215,0
TRD0000038,2024-08-25,2024-08-26,1,CPTY0000,"Rodriguez, Figueroa and Sanchez",UK,ISIN000093,Corporate Bond,0.498,USD,1,0,58778.9,0,0.06,0
TRD0000039,2025-11-29,2025-11-30,1,CPTY0051,Walker LLC,CH,ISIN000187,ADR,0.766,ZAR,1,1,12222.9,0,0.072,0
TRD0000040,2026-06-17,2026-06-19,2,CPTY0006,Blake and Sons,UK,ISIN000127,ETF,0.74,AUD,1,1,25205.08,0,0.037,0
TRD0000041,2025-03-15,2025-03-18,3,CPTY0088,Suarez LLC,SG,ISIN000293,Equity,0.891,AUD,1,1,553369.88,0,0.137,0
TRD0000042,2025-10-29,2025-10-31,2,CPTY0084,"Evans, Stewart and Walton",JP,ISIN000178,ADR,0.602,ZAR,1,1,26230.81,0,0.148,0
TRD0000043,2025-03-02,2025-03-04,2,CPTY0102,"Mckee, Gardner and Davenport",IN,ISIN000045,Equity,0.624,EUR,1,1,634697.11,0,0.148,0
TRD0000044,2025-11-29,2025-12-01,2,CPTY0004,"Guzman, Hoffman and Baldwin",JP,ISIN000098,Equity,0.576,ZAR,1,1,1608057.22,0,0.0,0
TRD0000045,2026-04-21,2026-04-22,1,CPTY0025,Wilkerson-Day,CH,ISIN000181,Corporate Bond,0.675,CHF,1,1,29068.15,0,0.131,0
TRD0000046,2024-10-06,2024-10-07,1,CPTY0095,Harris-Walters,BR,ISIN000287,Government Bond,0.674,SGD,1,1,150363.95,0,0.065,0
TRD0000047,2026-01-12,2026-01-13,1,CPTY0033,Frazier Inc,JP,ISIN000285,Money Market,0.869,BRL,1,1,85153.15,0,0.174,0
TRD0000048,2026-06-01,2026-06-03,2,CPTY0080,"Sanchez, Wheeler and Harvey",IN,ISIN000262,Equity,0.864,JPY,1,1,12120.62,0,0.087,0
TRD0000049,2025-02-20,2025-02-21,1,CPTY0106,"Wright, Garcia and Deleon",CH,ISIN000062,ETF,0.835,SGD,1,1,41181.62,0,0.126,0
TRD0000050,2025-07-30,2025-07-31,1,CPTY0058,Lee-Davis,SG,ISIN000275,Government Bond,0.816,AUD,1,1,59316.69,0,0.025,0
TRD0000051,2025-02-27,2025-03-01,2,CPTY0026,Baker and Sons,SG,ISIN000261,Money Market,0.63,AUD,1,1,55813.34,0,0.087,0
TRD0000052,2025-12-01,2025-12-04,3,CPTY0042,Rodriguez LLC,SG,ISIN000199,Equity,0.451,EUR,1,1,22574.07,0,0.025,0
TRD0000053,2025-05-15,2025-05-18,3,CPTY0046,Anderson Group,UK,ISIN000061,ADR,0.717,CHF,1,1,443727.19,0,0.196,0
TRD0000054,2025-03-12,2025-03-14,2,CPTY0011,Dudley Group,US,ISIN000193,Equity,0.621,CHF,0,1,18114.08,0,0.262,0
TRD0000055,2025-05-10,2025-05-13,3,CPTY0033,Frazier Inc,JP,ISIN000101,Equity,0.577,SGD,1,1,7578.35,0,0.288,0
TRD0000056,2025-12-25,2025-12-26,1,CPTY0069,Hancock Inc,JP,ISIN000267,Equity,0.87,SGD,1,1,480337.29,0,0.0,0
TRD0000057,2025-02-16,2025-02-19,3,CPTY0114,Torres-Pope,US,ISIN000149,Corporate Bond,0.72,CHF,0,1,139414.36,0,0.337,0
TRD0000058,2025-09-05,2025-09-07,2,CPTY0068,Russell Group,AU,ISIN000150,Equity,0.828,GBP,1,1,76044.52,0,0.026,0
TRD0000059,2024-10-08,2024-10-09,1,CPTY0116,Ross LLC,EU,ISIN000026,Money Market,0.941,SGD,1,1,168956.48,1,0.403,1
TRD0000060,2024-11-28,2024-12-01,3,CPTY0016,James Group,IN,ISIN000106,Government Bond,0.891,SGD,1,1,563682.2,0,0.168,0
TRD0000061,2025-05-24,2025-05-27,3,CPTY0105,Nolan and Sons,BR,ISIN000246,Money Market,0.759,GBP,1,1,198567.97,0,0.063,0
TRD0000062,2025-11-30,2025-12-02,2,CPTY0034,"Dyer, Potter and Mack",AU,ISIN000197,Money Market,0.737,ZAR,1,1,85935.04,0,0.266,0
TRD0000063,2026-07-02,2026-07-03,1,CPTY0011,Dudley Group,US,ISIN000162,ETF,0.89,SGD,0,1,11914.87,0,0.285,0
TRD0000064,2025-04-22,2025-04-24,2,CPTY0069,Hancock Inc,JP,ISIN000286,ETF,0.677,USD,1,0,123535.85,0,0.091,0
TRD0000065,2025-12-10,2025-12-11,1,CPTY0084,"Evans, Stewart and Walton",JP,ISIN000070,Money Market,0.729,CHF,1,1,64788.01,0,0.248,0
TRD0000066,2026-02-03,2026-02-04,1,CPTY0091,"Smith, Montoya and Evans",CH,ISIN000206,ADR,0.851,SGD,1,1,84546.8,0,0.186,0
TRD0000067,2026-06-03,2026-06-05,2,CPTY0115,Walker Ltd,UK,ISIN000142,Money Market,0.761,ZAR,1,1,16612.83,0,0.0,0
TRD0000068,2024-11-14,2024-11-17,3,CPTY0090,"Turner, Riggs and Roman",JP,ISIN000052,Money Market,0.731,AUD,1,1,4586.34,0,0.098,0
TRD0000069,2025-10-23,2025-10-25,2,CPTY0034,"Dyer, Potter and Mack",AU,ISIN000096,ADR,0.754,INR,1,1,561105.52,0,0.315,0
TRD0000070,2025-09-17,2025-09-19,2,CPTY0027,"Hoffman, Baker and Richards",US,ISIN000072,ADR,0.694,JPY,0,1,50702.95,0,0.28,0
TRD0000071,2025-02-20,2025-02-22,2,CPTY0033,Frazier Inc,JP,ISIN000198,Corporate Bond,0.768,INR,1,1,528702.15,0,0.209,0
TRD0000072,2025-05-13,2025-05-16,3,CPTY0079,"Hensley, Powell and David",SG,ISIN000121,Equity,0.678,GBP,1,1,40452.99,0,0.0,0
TRD0000073,2025-08-31,2025-09-03,3,CPTY0059,Gomez-Jenkins,UK,ISIN000007,Money Market,0.954,EUR,1,1,85607.39,0,0.086,0
TRD0000074,2026-04-10,2026-04-11,1,CPTY0081,Sandoval-Cunningham,JP,ISIN000154,Equity,0.605,BRL,1,1,11019.71,1,0.179,1
TRD0000075,2024-07-02,2024-07-05,3,CPTY0061,Powell LLC,UK,ISIN000117,ETF,0.858,ZAR,1,1,22427.2,0,0.094,0
TRD0000076,2025-02-23,2025-02-24,1,CPTY0104,Nolan-Flynn,CH,ISIN000226,ADR,0.732,EUR,1,1,35954.8,0,0.055,0
TRD0000077,2025-02-09,2025-02-10,1,CPTY0096,Wagner-King,ZA,ISIN000104,Money Market,0.671,CHF,1,1,6902.58,0,0.0,0
TRD0000078,2024-12-12,2024-12-13,1,CPTY0016,James Group,IN,ISIN000236,Government Bond,0.772,JPY,1,1,72790.98,0,0.289,0
TRD0000079,2025-05-31,2025-06-01,1,CPTY0090,"Turner, Riggs and Roman",JP,ISIN000107,ADR,0.819,USD,1,0,15956.83,0,0.158,0
TRD0000080,2026-03-04,2026-03-05,1,CPTY0099,Walsh LLC,EU,ISIN000184,Corporate Bond,0.84,JPY,1,1,979.1,0,0.07,0
TRD0000081,2025-09-25,2025-09-27,2,CPTY0032,"Ferrell, Rice and Maddox",EU,ISIN000050,Equity,0.635,ZAR,1,1,272948.94,1,0.111,1
TRD0000082,2025-10-16,2025-10-17,1,CPTY0097,Davis Group,EU,ISIN000125,ETF,0.576,INR,1,1,80590.6,0,0.017,1
TRD0000083,2025-11-22,2025-11-24,2,CPTY0080,"Sanchez, Wheeler and Harvey",IN,ISIN000276,Government Bond,0.615,ZAR,1,1,224012.09,0,0.075,0
TRD0000084,2025-03-09,2025-03-10,1,CPTY0088,Suarez LLC,SG,ISIN000228,Corporate Bond,0.888,SGD,1,1,23140.66,0,0.101,0
TRD0000085,2025-06-28,2025-06-30,2,CPTY0115,Walker Ltd,UK,ISIN000015,ADR,0.628,SGD,1,1,61693.17,0,0.086,0
TRD0000086,2025-06-10,2025-06-11,1,CPTY0105,Nolan and Sons,BR,ISIN000031,Government Bond,0.783,GBP,1,1,121251.22,0,0.047,0
TRD0000087,2025-06-10,2025-06-13,3,CPTY0091,"Smith, Montoya and Evans",CH,ISIN000083,Equity,0.974,USD,1,0,16528.01,0,0.125,0
TRD0000088,2025-12-08,2025-12-09,1,CPTY0020,Gray-Mayo,JP,ISIN000220,Money Market,0.556,SGD,1,1,43723.86,0,0.244,0
TRD0000089,2024-12-14,2024-12-15,1,CPTY0034,"Dyer, Potter and Mack",AU,ISIN000103,Equity,0.736,GBP,1,1,1163567.18,0,0.331,0
TRD0000090,2025-08-03,2025-08-06,3,CPTY0005,"Gardner, Robinson and Lawrence",EU,ISIN000257,ADR,0.8,BRL,1,1,16818.14,0,0.238,0
TRD0000091,2025-07-04,2025-07-06,2,CPTY0067,Novak and Sons,AU,ISIN000182,Corporate Bond,0.742,USD,1,0,5084.73,1,0.207,0
TRD0000092,2026-03-10,2026-03-12,2,CPTY0080,"Sanchez, Wheeler and Harvey",IN,ISIN000081,Money Market,0.694,JPY,1,1,9347.79,0,0.085,0
TRD0000093,2026-06-01,2026-06-02,1,CPTY0019,"Reid, Ferguson and Sanchez",IN,ISIN000219,Money Market,0.504,INR,1,1,145528.85,0,0.126,0
TRD0000094,2026-03-12,2026-03-13,1,CPTY0065,Morton-Chase,AU,ISIN000202,Corporate Bond,0.621,INR,1,1,75836.07,0,0.021,0
TRD0000095,2026-01-24,2026-01-27,3,CPTY0084,"Evans, Stewart and Walton",JP,ISIN000018,Government Bond,0.337,BRL,1,1,9538.03,0,0.222,0
TRD0000096,2024-11-10,2024-11-12,2,CPTY0106,"Wright, Garcia and Deleon",CH,ISIN000185,Equity,0.843,ZAR,1,1,44979.7,0,0.256,0
TRD0000097,2025-11-25,2025-11-26,1,CPTY0097,Davis Group,EU,ISIN000158,Equity,0.944,INR,1,1,8012.03,0,0.077,0
TRD0000098,2024-09-05,2024-09-07,2,CPTY0023,Morales-Jones,JP,ISIN000122,ADR,0.762,BRL,1,1,8839.35,0,0.062,0
TRD0000099,2025-02-07,2025-02-09,2,CPTY0032,"Ferrell, Rice and Maddox",EU,ISIN000234,Government Bond,0.413,BRL,1,1,1418.01,0,0.045,0
TRD0000100,2025-08-06,2025-08-08,2,CPTY0117,Rasmussen LLC,EU,ISIN000002,ETF,0.83,GBP,1,1,12258.38,0,0.226,0
TRD0000101,2025-11-29,2025-12-02,3,CPTY0116,Ross LLC,EU,ISIN000065,Government Bond,0.639,INR,1,1,4413754.51,0,0.422,0
TRD0000102,2025-11-05,2025-11-07,2,CPTY0098,Williams-Cook,SG,ISIN000214,Equity,0.859,CHF,1,1,28931.72,0,0.037,0
TRD0000103,2025-10-25,2025-10-26,1,CPTY0108,Hancock and Sons,AU,ISIN000290,ADR,0.823,CHF,1,1,122584.76,0,0.188,0
TRD0000104,2025-03-19,2025-03-21,2,CPTY0085,Smith PLC,US,ISIN000032,ADR,0.872,INR,0,1,370594.9,0,0.08,0
TRD0000105,2024-09-12,2024-09-15,3,CPTY0082,Donovan-Harris,AU,ISIN000145,ETF,0.618,JPY,1,1,66365.62,0,0.146,1
TRD0000106,2026-03-29,2026-03-30,1,CPTY0063,"West, Henderson and Ramirez",SG,ISIN000149,Corporate Bond,0.72,INR,1,1,47829.73,1,0.116,1
TRD0000107,2026-02-05,2026-02-06,1,CPTY0119,"Rivera, Johnson and Wiley",CH,ISIN000158,Equity,0.944,CHF,1,1,67597.57,0,0.181,0
TRD0000108,2024-12-31,2025-01-01,1,CPTY0029,"Snyder, Campos and Callahan",BR,ISIN000222,Government Bond,0.777,CHF,1,1,87034.07,0,0.054,0
TRD0000109,2025-12-06,2025-12-07,1,CPTY0013,"Mcclure, Ward and Lee",UK,ISIN000191,Government Bond,0.761,AUD,1,1,14883.1,0,0.145,0
TRD0000110,2025-02-28,2025-03-02,2,CPTY0100,Figueroa PLC,JP,ISIN000127,ETF,0.74,EUR,1,1,131881.38,0,0.249,0
TRD0000111,2024-12-23,2024-12-24,1,CPTY0054,Jones Inc,JP,ISIN000109,Corporate Bond,0.757,GBP,1,1,175847.02,0,0.0,0
TRD0000112,2026-03-20,2026-03-21,1,CPTY0028,"Ross, Robinson and Bright",EU,ISIN000045,Equity,0.624,SGD,1,1,2139.89,0,0.155,1
TRD0000113,2024-12-03,2024-12-06,3,CPTY0033,Frazier Inc,JP,ISIN000090,Money Market,0.458,GBP,1,1,15905.42,0,0.266,0
TRD0000114,2024-10-24,2024-10-27,3,CPTY0089,Moore-Bass,UK,ISIN000046,Equity,0.757,JPY,1,1,127209.96,0,0.127,0
